transaction_id,player_id,venue,transaction_date,meal_period,items_count,subtotal,tax,total,payment_type,comp_value,tip_amount,party_size,satisfaction_score
FNB-00000001,PLY-000456,Sports Grill,2024-09-23,DINNER,6,133.25,11.39,144.64,PLAYER_CARD,0,0,3,4
FNB-00000002,,The Steakhouse,2023-01-12,LUNCH,4,131.19,8.51,139.7,DEBIT,0,23.85,7,2
FNB-00000003,PLY-000047,Pool Bar,2024-08-08,DINNER,3,56.65,4.29,60.94,COMP,37.51,13.92,4,2
FNB-00000004,PLY-000049,The Steakhouse,2024-07-18,LUNCH,4,100.09,7.47,107.56,COMP,63.78,18.31,6,4
FNB-00000005,PLY-000480,VIP Dining Room,2023-08-07,DINNER,2,186.03,13.92,199.95,CREDIT,0,0,3,4
FNB-00000006,PLY-000307,Sports Grill,2024-04-07,LATE_NIGHT,8,142.08,9.66,151.74,COMP,118.47,0,3,
FNB-00000007,PLY-000383,Pool Bar,2023-01-08,LATE_NIGHT,2,36.7,2.89,39.59,CREDIT,0,0,5,4
FNB-00000008,PLY-000446,VIP Dining Room,2025-03-06,LATE_NIGHT,6,265.04,21.86,286.9,CREDIT,0,40.29,7,4
FNB-00000009,,Pool Bar,2025-04-20,LATE_NIGHT,1,11.21,0.84,12.05,COMP,9.05,1.71,5,
FNB-00000010,PLY-000296,The Steakhouse,2025-01-02,DINNER,1,52.45,4.02,56.47,DEBIT,0,8.42,7,1
FNB-00000011,PLY-000027,Pool Bar,2025-07-07,DINNER,1,13.59,0.95,14.54,CASH,0,2.46,8,
FNB-00000012,PLY-000358,Pool Bar,2023-09-22,LATE_NIGHT,7,83.39,5.62,89.01,COMP,64.67,18.76,8,3
FNB-00000013,PLY-000332,Deli Express,2023-09-04,LUNCH,8,69.23,4.57,73.8,CREDIT,0,0,3,5
FNB-00000014,PLY-000206,Buffet Palace,2025-02-28,LATE_NIGHT,1,15.18,1.37,16.55,CASH,0,2.88,3,4
FNB-00000015,,Deli Express,2024-10-09,LUNCH,5,77.83,7.19,85.02,SPLIT,0,12.48,6,
FNB-00000016,PLY-000327,The Steakhouse,2023-03-09,LUNCH,3,120.83,9.13,129.96,PLAYER_CARD,0,29.31,8,
FNB-00000017,PLY-000061,VIP Dining Room,2025-01-03,DINNER,4,207.78,15.97,223.75,COMP,148.15,32.73,6,5
FNB-00000018,,Asian Fusion,2024-06-13,BREAKFAST,8,224.0,16.26,240.26,PLAYER_CARD,0,0,7,
FNB-00000019,PLY-000094,Sports Grill,2025-10-28,LATE_NIGHT,6,65.55,4.7,70.25,CREDIT,0,10.63,6,5
FNB-00000020,PLY-000152,Buffet Palace,2023-03-12,DINNER,8,228.04,15.73,243.77,CREDIT,0,51.62,8,
FNB-00000021,PLY-000356,Asian Fusion,2024-08-01,LATE_NIGHT,3,101.22,7.28,108.5,PLAYER_CARD,0,16.98,3,4
FNB-00000022,PLY-000346,Pool Bar,2025-07-28,LATE_NIGHT,1,11.01,1.01,12.02,SPLIT,0,0,2,4
FNB-00000023,PLY-000280,Sports Grill,2025-01-12,DINNER,2,31.23,2.95,34.18,DEBIT,0,7.27,3,5
FNB-00000024,PLY-000255,Pool Bar,2024-12-14,LUNCH,2,29.09,1.95,31.04,SPLIT,0,6.97,1,4
FNB-00000025,PLY-000066,Coffee Bar,2025-10-06,BREAKFAST,4,31.0,2.22,33.22,CASH,0,6.25,2,5
FNB-00000026,PLY-000351,Sports Grill,2024-10-20,LATE_NIGHT,8,171.79,15.22,187.01,COMP,174.39,27.78,5,4
FNB-00000027,,VIP Dining Room,2025-01-21,DINNER,3,320.58,20.3,340.88,DEBIT,0,75.7,2,
FNB-00000028,PLY-000120,VIP Dining Room,2025-05-04,LUNCH,4,426.03,31.83,457.86,CASH,0,91.25,8,4
FNB-00000029,,VIP Dining Room,2025-06-18,LATE_NIGHT,8,509.89,37.4,547.29,PLAYER_CARD,0,78.3,2,4
FNB-00000030,PLY-000035,Sports Grill,2025-06-23,BREAKFAST,5,65.55,5.59,71.14,PLAYER_CARD,0,12.16,5,3
FNB-00000031,,Coffee Bar,2025-03-16,DINNER,7,61.17,5.69,66.86,CREDIT,0,10.7,8,2
FNB-00000032,PLY-000491,Sports Grill,2023-12-26,LUNCH,1,9.32,0.78,10.1,DEBIT,0,0,4,4
FNB-00000033,PLY-000097,Sports Grill,2023-02-06,BREAKFAST,6,59.77,3.99,63.76,DEBIT,0,0,2,
FNB-00000034,PLY-000249,Asian Fusion,2025-03-27,BRUNCH,4,144.05,9.24,153.29,CREDIT,0,35.46,1,2
FNB-00000035,PLY-000471,Deli Express,2024-06-07,LUNCH,2,30.16,1.81,31.97,DEBIT,0,7.38,8,
FNB-00000036,PLY-000386,Coffee Bar,2023-12-10,DINNER,1,10.51,0.72,11.23,CREDIT,0,2.37,2,5
FNB-00000037,PLY-000007,Sports Grill,2025-02-24,LUNCH,7,185.96,11.55,197.51,COMP,158.88,0,5,
FNB-00000038,PLY-000189,Sports Grill,2025-05-07,BREAKFAST,2,39.81,3.74,43.55,COMP,23.21,6.28,2,3
FNB-00000039,PLY-000059,Deli Express,2025-03-04,DINNER,1,16.92,1.41,18.33,COMP,12.35,3.35,5,
FNB-00000040,,Sports Grill,2023-07-28,BRUNCH,4,44.17,3.97,48.14,COMP,32.39,9.54,2,3
FNB-00000041,PLY-000461,Asian Fusion,2025-12-09,LATE_NIGHT,5,190.83,13.96,204.79,COMP,116.66,42.82,6,
FNB-00000042,PLY-000244,Asian Fusion,2025-02-02,LUNCH,6,186.5,16.05,202.55,COMP,109.79,0,1,
FNB-00000043,PLY-000059,Asian Fusion,2023-07-11,LATE_NIGHT,3,60.74,4.7,65.44,COMP,60.26,0,3,5
FNB-00000044,PLY-000459,Pool Bar,2024-03-27,DINNER,1,15.37,1.46,16.83,CREDIT,0,0,3,5
FNB-00000045,PLY-000298,Pool Bar,2023-09-17,LUNCH,7,132.44,12.5,144.94,SPLIT,0,0,1,4
FNB-00000046,PLY-000112,Coffee Bar,2024-06-04,LUNCH,3,22.11,1.42,23.53,SPLIT,0,0,4,5
FNB-00000047,,Buffet Palace,2025-12-02,BREAKFAST,5,135.74,10.89,146.63,COMP,142.61,27.4,8,4
FNB-00000048,PLY-000385,The Steakhouse,2023-07-02,LUNCH,7,210.84,18.05,228.89,COMP,148.91,0,8,4
FNB-00000049,PLY-000317,Pool Bar,2023-10-03,LUNCH,1,14.85,0.97,15.82,CREDIT,0,3.62,6,4
FNB-00000050,PLY-000284,Sports Grill,2023-08-23,BRUNCH,3,40.39,3.78,44.17,CREDIT,0,9.93,7,
FNB-00000051,PLY-000122,Buffet Palace,2024-02-20,LATE_NIGHT,1,16.73,1.3,18.03,CASH,0,2.68,1,4
FNB-00000052,,The Steakhouse,2025-11-26,DINNER,1,53.52,4.19,57.71,COMP,51.92,8.87,4,
FNB-00000053,PLY-000229,Buffet Palace,2024-10-11,BREAKFAST,3,41.99,3.33,45.32,COMP,37.95,9.87,3,2
FNB-00000054,PLY-000247,Coffee Bar,2024-05-20,BRUNCH,4,30.51,2.8,33.31,CREDIT,0,5.34,8,5
FNB-00000055,PLY-000026,Buffet Palace,2023-11-17,BRUNCH,3,103.46,7.6,111.06,DEBIT,0,17.74,8,
FNB-00000056,PLY-000457,Deli Express,2023-05-16,LATE_NIGHT,2,13.43,1.14,14.57,CASH,0,2.12,8,4
FNB-00000057,PLY-000468,Buffet Palace,2023-07-13,DINNER,5,85.71,6.0,91.71,SPLIT,0,15.92,7,
FNB-00000058,PLY-000435,Deli Express,2025-05-21,LATE_NIGHT,2,14.67,0.98,15.65,SPLIT,0,2.22,6,
FNB-00000059,PLY-000288,Deli Express,2024-02-03,BRUNCH,2,24.28,1.6,25.88,DEBIT,0,3.76,3,
FNB-00000060,,Sports Grill,2024-08-13,DINNER,7,145.1,11.5,156.6,CASH,0,32.53,6,4
FNB-00000061,PLY-000149,Buffet Palace,2025-02-12,LATE_NIGHT,4,99.6,7.45,107.05,CREDIT,0,15.9,2,
FNB-00000062,,Pool Bar,2024-01-02,BREAKFAST,2,43.07,3.58,46.65,CREDIT,0,9.39,3,3
FNB-00000063,PLY-000425,VIP Dining Room,2024-06-13,LATE_NIGHT,8,804.98,51.18,856.16,SPLIT,0,0,4,5
FNB-00000064,PLY-000352,VIP Dining Room,2025-11-28,LATE_NIGHT,2,90.35,5.5,95.85,SPLIT,0,0,5,
FNB-00000065,PLY-000305,The Steakhouse,2023-11-01,DINNER,5,164.09,15.21,179.3,CREDIT,0,35.62,8,
FNB-00000066,PLY-000233,The Steakhouse,2024-01-19,DINNER,1,46.47,3.67,50.14,CREDIT,0,8.48,1,1
FNB-00000067,PLY-000078,Pool Bar,2025-05-24,BRUNCH,8,160.3,11.53,171.83,CREDIT,0,0,5,
FNB-00000068,PLY-000057,The Steakhouse,2024-06-18,LATE_NIGHT,8,221.18,18.96,240.14,CREDIT,0,45.29,1,
FNB-00000069,PLY-000385,VIP Dining Room,2023-08-27,LATE_NIGHT,5,378.56,28.01,406.57,PLAYER_CARD,0,77.62,5,2
FNB-00000070,,Sports Grill,2023-07-20,LATE_NIGHT,3,45.87,3.28,49.15,COMP,36.23,10.05,3,
FNB-00000071,PLY-000159,Deli Express,2023-06-11,LUNCH,6,81.6,6.81,88.41,COMP,71.54,0,5,2
FNB-00000072,PLY-000316,Deli Express,2024-08-11,DINNER,4,27.32,1.98,29.3,CREDIT,0,0,5,4
FNB-00000073,PLY-000087,Pool Bar,2025-03-11,LUNCH,5,52.5,3.93,56.43,CREDIT,0,11.75,3,5
FNB-00000074,PLY-000291,Coffee Bar,2024-10-12,BREAKFAST,2,23.14,2.04,25.18,CREDIT,0,5.32,7,5
FNB-00000075,PLY-000419,Deli Express,2025-07-20,LUNCH,6,85.47,8.05,93.52,CREDIT,0,21.29,2,2
FNB-00000076,PLY-000396,Deli Express,2023-10-13,LATE_NIGHT,5,74.97,6.05,81.02,COMP,56.87,15.15,1,4
FNB-00000077,PLY-000180,Asian Fusion,2024-04-02,LATE_NIGHT,5,100.77,6.54,107.31,COMP,94.58,24.53,8,1
FNB-00000078,PLY-000411,Coffee Bar,2025-01-24,LATE_NIGHT,7,31.3,2.6,33.9,DEBIT,0,6.68,8,1
FNB-00000079,PLY-000171,Sports Grill,2024-06-27,DINNER,2,19.64,1.31,20.95,COMP,17.2,4.43,6,
FNB-00000080,PLY-000398,Buffet Palace,2023-09-09,DINNER,7,233.28,20.9,254.18,PLAYER_CARD,0,43.08,3,
FNB-00000081,PLY-000365,Pool Bar,2024-10-22,DINNER,7,93.67,6.84,100.51,CREDIT,0,20.5,3,5
FNB-00000082,PLY-000227,The Steakhouse,2023-08-23,DINNER,5,251.95,16.42,268.37,COMP,211.38,38.18,5,
FNB-00000083,PLY-000111,The Steakhouse,2023-11-20,LUNCH,3,98.0,9.22,107.22,CREDIT,0,0,6,5
FNB-00000084,PLY-000440,Buffet Palace,2025-02-22,LUNCH,2,29.0,2.02,31.02,CREDIT,0,6.92,8,5
FNB-00000085,PLY-000027,Deli Express,2023-01-06,LUNCH,8,140.17,8.91,149.08,COMP,144.94,26.83,3,
FNB-00000086,PLY-000134,Coffee Bar,2023-05-21,BREAKFAST,8,41.94,2.87,44.81,SPLIT,0,10.29,2,4
FNB-00000087,,Asian Fusion,2024-01-08,DINNER,1,43.66,4.11,47.77,SPLIT,0,0,7,2
FNB-00000088,PLY-000392,VIP Dining Room,2023-11-25,LUNCH,5,406.15,35.08,441.23,CREDIT,0,81.75,6,
FNB-00000089,PLY-000101,Pool Bar,2023-08-18,BREAKFAST,3,47.69,2.89,50.58,DEBIT,0,0,3,4
FNB-00000090,PLY-000050,Buffet Palace,2025-07-12,DINNER,7,213.64,17.85,231.49,PLAYER_CARD,0,45.56,8,3
FNB-00000091,PLY-000111,Sports Grill,2024-04-05,LUNCH,4,53.86,4.52,58.38,DEBIT,0,0,2,
FNB-00000092,PLY-000421,The Steakhouse,2023-08-11,LUNCH,4,206.87,13.54,220.41,DEBIT,0,48.38,5,4
FNB-00000093,PLY-000353,VIP Dining Room,2023-06-20,LUNCH,3,305.12,23.65,328.77,DEBIT,0,55.46,6,4
FNB-00000094,,Deli Express,2025-02-02,LUNCH,5,37.65,3.43,41.08,PLAYER_CARD,0,7.16,6,5
FNB-00000095,PLY-000269,Deli Express,2025-01-03,DINNER,3,53.46,3.59,57.05,CREDIT,0,8.16,7,3
FNB-00000096,PLY-000037,Coffee Bar,2025-02-21,BRUNCH,2,19.06,1.38,20.44,COMP,11.08,3.49,7,3
FNB-00000097,,Deli Express,2023-12-22,LUNCH,2,33.17,2.99,36.16,DEBIT,0,6.96,6,4
FNB-00000098,PLY-000192,Asian Fusion,2025-07-18,LUNCH,8,342.9,23.77,366.67,PLAYER_CARD,0,0,2,
FNB-00000099,,Sports Grill,2025-03-06,DINNER,4,99.03,8.15,107.18,PLAYER_CARD,0,19.87,4,5
FNB-00000100,PLY-000183,VIP Dining Room,2025-11-15,BRUNCH,5,207.85,13.74,221.59,CREDIT,0,41.49,5,5
FNB-00000101,PLY-000384,Sports Grill,2025-04-01,BRUNCH,7,162.82,12.51,175.33,PLAYER_CARD,0,31.01,1,4
FNB-00000102,PLY-000295,Deli Express,2024-11-24,BRUNCH,1,9.78,0.86,10.64,CREDIT,0,0,4,3
FNB-00000103,PLY-000482,VIP Dining Room,2023-03-28,DINNER,2,143.03,9.97,153.0,COMP,101.41,33.98,1,4
FNB-00000104,PLY-000292,VIP Dining Room,2023-09-16,BREAKFAST,2,166.77,15.59,182.36,PLAYER_CARD,0,33.06,1,4
FNB-00000105,PLY-000428,Pool Bar,2023-10-05,DINNER,3,31.32,2.02,33.34,DEBIT,0,6.07,6,4
FNB-00000106,PLY-000204,The Steakhouse,2023-09-15,DINNER,3,115.51,8.69,124.2,COMP,98.81,22.12,5,
FNB-00000107,PLY-000461,Pool Bar,2025-12-12,LATE_NIGHT,4,40.92,2.52,43.44,CREDIT,0,6.76,4,3
FNB-00000108,PLY-000272,Coffee Bar,2024-11-23,DINNER,5,48.43,3.51,51.94,CREDIT,0,10.76,6,
FNB-00000109,PLY-000081,Coffee Bar,2024-01-04,LUNCH,4,18.11,1.41,19.52,CREDIT,0,2.78,7,4
FNB-00000110,PLY-000270,Deli Express,2023-06-16,LUNCH,6,80.97,6.11,87.08,SPLIT,0,19.25,4,
FNB-00000111,PLY-000266,Pool Bar,2024-06-04,LATE_NIGHT,1,21.09,1.59,22.68,DEBIT,0,3.46,6,5
FNB-00000112,PLY-000189,Coffee Bar,2024-06-27,LUNCH,5,21.33,1.86,23.19,SPLIT,0,4.73,7,
FNB-00000113,PLY-000415,The Steakhouse,2024-10-12,LUNCH,3,199.29,18.22,217.51,PLAYER_CARD,0,32.58,8,
FNB-00000114,,The Steakhouse,2024-11-18,BRUNCH,4,203.55,17.27,220.82,DEBIT,0,38.82,4,
FNB-00000115,PLY-000024,Deli Express,2024-11-16,DINNER,8,49.72,3.2,52.92,CREDIT,0,11.95,4,4
FNB-00000116,,Asian Fusion,2023-09-24,DINNER,6,198.91,13.91,212.82,PLAYER_CARD,0,48.83,3,2
FNB-00000117,PLY-000177,Deli Express,2025-01-22,DINNER,7,92.1,6.31,98.41,CASH,0,16.49,8,4
FNB-00000118,PLY-000344,Sports Grill,2025-08-12,DINNER,8,210.74,17.58,228.32,CASH,0,41.78,2,4
FNB-00000119,PLY-000082,The Steakhouse,2025-07-12,BRUNCH,1,58.79,4.66,63.45,COMP,36.61,0,4,4
FNB-00000120,PLY-000357,Pool Bar,2025-06-08,DINNER,1,18.49,1.19,19.68,CREDIT,0,0,2,5
FNB-00000121,,Sports Grill,2025-08-14,LUNCH,2,28.88,2.4,31.28,COMP,29.14,0,5,4
FNB-00000122,,VIP Dining Room,2024-05-20,LATE_NIGHT,5,463.36,39.91,503.27,CASH,0,95.75,7,
FNB-00000123,PLY-000152,Coffee Bar,2025-12-04,LATE_NIGHT,4,45.39,3.5,48.89,COMP,34.55,10.6,1,3
FNB-00000124,PLY-000320,The Steakhouse,2024-02-10,LATE_NIGHT,4,152.06,11.69,163.75,CASH,0,37.77,1,5
FNB-00000125,PLY-000491,Asian Fusion,2023-04-13,BREAKFAST,6,253.17,18.39,271.56,COMP,176.6,40.34,6,4
FNB-00000126,PLY-000471,VIP Dining Room,2023-03-06,LATE_NIGHT,7,657.4,50.17,707.57,SPLIT,0,0,4,4
FNB-00000127,,Sports Grill,2025-05-17,DINNER,7,111.37,7.31,118.68,DEBIT,0,0,5,4
FNB-00000128,PLY-000005,VIP Dining Room,2024-12-18,LUNCH,7,349.81,27.61,377.42,DEBIT,0,66.86,4,4
FNB-00000129,PLY-000165,Buffet Palace,2025-11-25,DINNER,6,77.82,5.03,82.85,DEBIT,0,17.33,7,
FNB-00000130,PLY-000309,VIP Dining Room,2023-08-06,LATE_NIGHT,7,649.66,46.89,696.55,CASH,0,0,7,1
FNB-00000131,PLY-000313,VIP Dining Room,2023-09-08,DINNER,3,164.2,12.39,176.59,COMP,109.19,0,3,
FNB-00000132,PLY-000036,Sports Grill,2023-11-26,BREAKFAST,4,57.75,4.32,62.07,CREDIT,0,0,1,
FNB-00000133,PLY-000399,The Steakhouse,2024-05-26,BRUNCH,3,117.83,8.88,126.71,COMP,122.78,22.27,8,
FNB-00000134,,Coffee Bar,2024-10-05,LATE_NIGHT,6,60.46,4.73,65.19,SPLIT,0,0,8,
FNB-00000135,,Coffee Bar,2024-10-28,BREAKFAST,1,6.13,0.42,6.55,COMP,4.27,1.03,6,5
FNB-00000136,PLY-000002,The Steakhouse,2023-03-24,DINNER,5,147.22,10.13,157.35,PLAYER_CARD,0,27.65,7,4
FNB-00000137,PLY-000029,Pool Bar,2023-07-24,DINNER,3,62.65,5.21,67.86,DEBIT,0,0,8,4
FNB-00000138,PLY-000176,Pool Bar,2023-08-14,BREAKFAST,5,55.99,3.74,59.73,CREDIT,0,9.16,3,
FNB-00000139,PLY-000321,Asian Fusion,2023-04-07,BRUNCH,8,141.03,8.56,149.59,CREDIT,0,27.98,4,3
FNB-00000140,PLY-000218,Buffet Palace,2025-06-11,LATE_NIGHT,7,135.68,9.89,145.57,CREDIT,0,33.29,7,5
FNB-00000141,PLY-000089,Sports Grill,2024-05-16,LATE_NIGHT,8,132.02,9.8,141.82,COMP,75.43,0,7,4
FNB-00000142,PLY-000349,Buffet Palace,2023-09-15,LATE_NIGHT,4,79.77,5.25,85.02,COMP,70.91,18.88,1,
FNB-00000143,,Asian Fusion,2024-05-07,DINNER,3,96.19,9.12,105.31,CREDIT,0,16.38,1,
FNB-00000144,PLY-000176,Pool Bar,2024-03-17,LATE_NIGHT,6,124.31,7.46,131.77,DEBIT,0,0,1,4
FNB-00000145,PLY-000224,Coffee Bar,2023-02-24,BREAKFAST,6,65.76,4.81,70.57,CREDIT,0,11.72,7,3
FNB-00000146,PLY-000182,Buffet Palace,2024-03-01,DINNER,5,96.65,7.97,104.62,COMP,60.94,22.47,5,
FNB-00000147,PLY-000453,Asian Fusion,2024-02-03,DINNER,4,102.34,7.17,109.51,DEBIT,0,25.35,5,
FNB-00000148,PLY-000148,Deli Express,2023-07-27,BRUNCH,7,99.02,8.98,108.0,CASH,0,24.12,2,4
FNB-00000149,PLY-000187,The Steakhouse,2023-06-24,DINNER,8,262.55,17.99,280.54,CREDIT,0,39.46,4,
FNB-00000150,PLY-000160,The Steakhouse,2025-07-22,LUNCH,5,214.63,18.21,232.84,DEBIT,0,33.13,3,5
FNB-00000151,,Deli Express,2024-05-25,LUNCH,2,17.21,1.52,18.73,DEBIT,0,0,5,4
FNB-00000152,PLY-000472,Coffee Bar,2023-12-23,LUNCH,7,52.7,4.1,56.8,COMP,36.7,12.37,6,5
FNB-00000153,PLY-000379,Buffet Palace,2023-07-07,DINNER,2,52.85,3.75,56.6,COMP,36.73,8.39,7,
FNB-00000154,PLY-000124,Deli Express,2023-12-21,DINNER,2,27.14,1.8,28.94,COMP,19.12,6.11,4,4
FNB-00000155,,Buffet Palace,2025-03-04,LATE_NIGHT,3,56.96,3.45,60.41,PLAYER_CARD,0,12.46,4,3
FNB-00000156,PLY-000056,Pool Bar,2023-11-15,LUNCH,7,150.32,12.0,162.32,SPLIT,0,32.92,5,
FNB-00000157,PLY-000267,Buffet Palace,2023-06-12,DINNER,5,145.49,10.08,155.57,CASH,0,36.06,8,4
FNB-00000158,,Pool Bar,2023-10-19,DINNER,2,34.52,2.89,37.41,CREDIT,0,5.97,2,
FNB-00000159,,Pool Bar,2024-12-09,DINNER,1,15.85,1.38,17.23,SPLIT,0,3.23,8,
FNB-00000160,,Asian Fusion,2025-05-12,BRUNCH,8,351.03,29.89,380.92,CREDIT,0,81.98,6,5
FNB-00000161,PLY-000458,Buffet Palace,2024-05-08,LUNCH,7,256.61,23.87,280.48,COMP,277.77,40.59,3,5
FNB-00000162,PLY-000287,Coffee Bar,2024-11-26,LUNCH,4,44.78,3.92,48.7,DEBIT,0,8.41,2,
FNB-00000163,PLY-000188,Buffet Palace,2025-04-12,LUNCH,8,295.56,24.33,319.89,DEBIT,0,47.13,2,
FNB-00000164,PLY-000392,Sports Grill,2023-03-23,DINNER,3,53.99,4.55,58.54,DEBIT,0,11.27,2,4
FNB-00000165,,Deli Express,2024-11-14,BRUNCH,4,32.05,2.01,34.06,COMP,21.2,6.19,7,
FNB-00000166,,Deli Express,2025-12-19,BRUNCH,1,8.49,0.6,9.09,PLAYER_CARD,0,1.34,7,3
FNB-00000167,PLY-000196,VIP Dining Room,2024-02-08,LUNCH,7,448.42,36.09,484.51,COMP,364.07,0,6,
FNB-00000168,PLY-000008,Pool Bar,2023-01-09,DINNER,7,126.38,10.36,136.74,CASH,0,0,5,
FNB-00000169,PLY-000119,VIP Dining Room,2024-05-15,LUNCH,2,117.23,10.6,127.83,PLAYER_CARD,0,26.55,4,4
FNB-00000170,PLY-000195,Coffee Bar,2023-09-27,BRUNCH,7,71.96,6.03,77.99,PLAYER_CARD,0,12.11,4,
FNB-00000171,PLY-000148,Deli Express,2024-08-15,DINNER,8,70.82,6.12,76.94,CREDIT,0,14.81,7,4
FNB-00000172,PLY-000420,Buffet Palace,2023-08-19,DINNER,7,138.97,12.44,151.41,CASH,0,0,8,4
FNB-00000173,PLY-000433,Sports Grill,2024-09-15,BREAKFAST,7,64.05,3.99,68.04,COMP,46.25,11.51,1,2
FNB-00000174,PLY-000281,Pool Bar,2024-07-23,DINNER,3,49.15,3.46,52.61,DEBIT,0,10.41,2,5
FNB-00000175,PLY-000385,VIP Dining Room,2023-06-02,LUNCH,7,756.61,64.86,821.47,CASH,0,163.64,3,4
FNB-00000176,,Coffee Bar,2023-03-01,LATE_NIGHT,1,10.02,0.84,10.86,CREDIT,0,1.88,8,
FNB-00000177,PLY-000320,Buffet Palace,2024-09-13,DINNER,2,51.14,4.7,55.84,CREDIT,0,12.58,4,5
FNB-00000178,PLY-000487,Coffee Bar,2024-09-07,LATE_NIGHT,1,8.29,0.67,8.96,CREDIT,0,1.4,2,4
FNB-00000179,PLY-000313,The Steakhouse,2024-01-09,LUNCH,1,55.77,4.22,59.99,PLAYER_CARD,0,12.36,2,
FNB-00000180,PLY-000146,Asian Fusion,2023-02-01,DINNER,3,109.8,9.3,119.1,COMP,77.96,19.17,4,5
FNB-00000181,,Pool Bar,2023-07-14,LUNCH,4,66.69,5.06,71.75,COMP,68.04,0,2,
FNB-00000182,PLY-000417,Coffee Bar,2025-04-04,LUNCH,7,35.72,3.32,39.04,DEBIT,0,0,4,4
FNB-00000183,,Pool Bar,2023-02-20,LUNCH,7,90.29,5.8,96.09,CREDIT,0,18.25,8,
FNB-00000184,PLY-000483,Sports Grill,2024-01-18,LATE_NIGHT,8,92.99,5.63,98.62,DEBIT,0,17.66,8,4
FNB-00000185,,Buffet Palace,2023-06-09,BREAKFAST,2,40.76,3.67,44.43,DEBIT,0,6.38,4,4
FNB-00000186,PLY-000163,The Steakhouse,2024-05-21,LATE_NIGHT,6,178.44,15.3,193.74,PLAYER_CARD,0,0,7,5
FNB-00000187,,VIP Dining Room,2024-11-20,DINNER,2,193.95,12.59,206.54,COMP,161.09,46.3,7,5
FNB-00000188,PLY-000206,VIP Dining Room,2023-07-02,LUNCH,4,245.34,19.1,264.44,CREDIT,0,51.43,7,
FNB-00000189,PLY-000250,VIP Dining Room,2025-08-20,BREAKFAST,4,397.27,32.26,429.53,CASH,0,0,8,4
FNB-00000190,PLY-000390,Deli Express,2024-11-19,LATE_NIGHT,4,61.06,5.56,66.62,CREDIT,0,11.66,8,3
FNB-00000191,PLY-000397,Sports Grill,2025-06-15,LATE_NIGHT,5,130.42,8.54,138.96,CREDIT,0,27.13,6,4
FNB-00000192,PLY-000457,Deli Express,2025-01-11,DINNER,4,65.89,4.29,70.18,PLAYER_CARD,0,12.68,7,
FNB-00000193,,Sports Grill,2024-01-08,LUNCH,8,195.33,15.17,210.5,PLAYER_CARD,0,29.32,5,
FNB-00000194,PLY-000271,Coffee Bar,2024-04-16,LUNCH,3,21.41,1.51,22.92,CREDIT,0,3.59,6,4
FNB-00000195,PLY-000399,Sports Grill,2024-04-27,BREAKFAST,1,20.49,1.84,22.33,CREDIT,0,4.81,7,
FNB-00000196,PLY-000030,The Steakhouse,2024-06-05,BRUNCH,4,223.22,20.06,243.28,COMP,211.73,39.24,4,4
FNB-00000197,PLY-000056,Buffet Palace,2024-08-16,LUNCH,8,261.34,17.94,279.28,CASH,0,42.62,6,4
FNB-00000198,PLY-000077,Buffet Palace,2024-04-16,LATE_NIGHT,8,182.66,17.24,199.9,COMP,152.87,37.26,3,
FNB-00000199,,VIP Dining Room,2025-07-23,BRUNCH,1,68.46,4.15,72.61,CREDIT,0,0,6,
FNB-00000200,PLY-000236,Pool Bar,2023-04-15,LUNCH,1,21.22,1.39,22.61,CREDIT,0,4.1,3,4
