state_code,state_name,fiscal_year,month_number,month_name,persons,households,benefits_dollars,program,county_fips
AL,ALABAMA,2022,10,OCTOBER,858392,412586,183256789.45,SNAP,
AL,ALABAMA,2022,11,NOVEMBER,865241,415923,189374582.12,SNAP,
AL,ALABAMA,2022,12,DECEMBER,871205,418234,195283746.89,SNAP,
AL,ALABAMA,2023,1,JANUARY,876584,420156,198745632.11,SNAP,
AL,ALABAMA,2023,2,FEBRUARY,882391,422789,201856473.25,SNAP,
AL,ALABAMA,2023,3,MARCH,887956,425023,205149827.36,SNAP,
AL,ALABAMA,2023,4,APRIL,893472,427185,208567394.28,SNAP,
AL,ALABAMA,2023,5,MAY,898735,429347,211789456.39,SNAP,
AL,ALABAMA,2023,6,JUNE,904182,431298,215023587.45,SNAP,
AL,ALABAMA,2023,7,JULY,909847,433156,218345682.71,SNAP,
AL,ALABAMA,2023,8,AUGUST,915392,435089,221567823.58,SNAP,
AL,ALABAMA,2023,9,SEPTEMBER,921058,437021,224789546.82,SNAP,
CA,CALIFORNIA,2022,10,OCTOBER,4256789,2134567,1256789345.67,SNAP,
CA,CALIFORNIA,2022,11,NOVEMBER,4289456,2145891,1278456789.23,SNAP,
CA,CALIFORNIA,2022,12,DECEMBER,4321567,2157234,1301234567.89,SNAP,
CA,CALIFORNIA,2023,1,JANUARY,4354782,2168456,1323567891.45,SNAP,
CA,CALIFORNIA,2023,2,FEBRUARY,4387123,2179823,1345678923.56,SNAP,
CA,CALIFORNIA,2023,3,MARCH,4419567,2191089,1367891234.67,SNAP,
CA,CALIFORNIA,2023,4,APRIL,4452134,2202456,1390123456.78,SNAP,
CA,CALIFORNIA,2023,5,MAY,4484891,2213789,1412345678.89,SNAP,
CA,CALIFORNIA,2023,6,JUNE,4517234,2225123,1434567891.23,SNAP,
CA,CALIFORNIA,2023,7,JULY,4549892,2236456,1456789123.45,SNAP,
CA,CALIFORNIA,2023,8,AUGUST,4582345,2247891,1478912345.67,SNAP,
CA,CALIFORNIA,2023,9,SEPTEMBER,4614567,2259234,1501234567.89,SNAP,
TX,TEXAS,2022,10,OCTOBER,3892456,1956789,1125678923.45,SNAP,
TX,TEXAS,2022,11,NOVEMBER,3921789,1967234,1145789234.56,SNAP,
TX,TEXAS,2022,12,DECEMBER,3951234,1977689,1165891345.67,SNAP,
TX,TEXAS,2023,1,JANUARY,3980567,1988123,1185912456.78,SNAP,
TX,TEXAS,2023,2,FEBRUARY,4009891,1998567,1205923567.89,SNAP,
TX,TEXAS,2023,3,MARCH,4039234,2009012,1225934678.91,SNAP,
TX,TEXAS,2023,4,APRIL,4068567,2019456,1245945789.12,SNAP,
TX,TEXAS,2023,5,MAY,4097891,2029891,1265956891.23,SNAP,
TX,TEXAS,2023,6,JUNE,4127234,2040345,1285967912.34,SNAP,
TX,TEXAS,2023,7,JULY,4156567,2050789,1305978923.45,SNAP,
TX,TEXAS,2023,8,AUGUST,4185891,2061234,1325989234.56,SNAP,
TX,TEXAS,2023,9,SEPTEMBER,4215234,2071678,1345991345.67,SNAP,
NY,NEW YORK,2022,10,OCTOBER,2785634,1421567,785634567.89,SNAP,
NY,NEW YORK,2022,11,NOVEMBER,2798456,1427891,798456789.12,SNAP,
NY,NEW YORK,2022,12,DECEMBER,2811289,1434234,811234567.34,SNAP,
NY,NEW YORK,2023,1,JANUARY,2824123,1440567,824123456.78,SNAP,
NY,NEW YORK,2023,2,FEBRUARY,2836956,1446891,836912345.89,SNAP,
NY,NEW YORK,2023,3,MARCH,2849789,1453234,849789234.91,SNAP,
NY,NEW YORK,2023,4,APRIL,2862634,1459567,862634567.12,SNAP,
NY,NEW YORK,2023,5,MAY,2875456,1465891,875456789.23,SNAP,
NY,NEW YORK,2023,6,JUNE,2888289,1472234,888234567.34,SNAP,
NY,NEW YORK,2023,7,JULY,2901123,1478567,901123456.45,SNAP,
NY,NEW YORK,2023,8,AUGUST,2913956,1484891,913912345.56,SNAP,
NY,NEW YORK,2023,9,SEPTEMBER,2926789,1491234,926789234.67,SNAP,
FL,FLORIDA,2022,10,OCTOBER,3156789,1634567,756789123.45,SNAP,
FL,FLORIDA,2022,11,NOVEMBER,3178456,1642891,768456789.56,SNAP,
FL,FLORIDA,2022,12,DECEMBER,3200123,1651234,780123456.67,SNAP,
FL,FLORIDA,2023,1,JANUARY,3221789,1659567,791789123.78,SNAP,
FL,FLORIDA,2023,2,FEBRUARY,3243456,1667891,803456789.89,SNAP,
FL,FLORIDA,2023,3,MARCH,3265123,1676234,815123456.91,SNAP,
FL,FLORIDA,2023,4,APRIL,3286789,1684567,826789123.12,SNAP,
FL,FLORIDA,2023,5,MAY,3308456,1692891,838456789.23,SNAP,
FL,FLORIDA,2023,6,JUNE,3330123,1701234,850123456.34,SNAP,
FL,FLORIDA,2023,7,JULY,3351789,1709567,861789123.45,SNAP,
FL,FLORIDA,2023,8,AUGUST,3373456,1717891,873456789.56,SNAP,
FL,FLORIDA,2023,9,SEPTEMBER,3395123,1726234,885123456.67,SNAP,
PA,PENNSYLVANIA,2022,10,OCTOBER,1789456,894567,456789123.45,SNAP,
PA,PENNSYLVANIA,2022,11,NOVEMBER,1798234,898912,463456789.56,SNAP,
PA,PENNSYLVANIA,2022,12,DECEMBER,1807012,903256,470123456.67,SNAP,
PA,PENNSYLVANIA,2023,1,JANUARY,1815789,907623,476789123.78,SNAP,
PA,PENNSYLVANIA,2023,2,FEBRUARY,1824567,911967,483456789.89,SNAP,
PA,PENNSYLVANIA,2023,3,MARCH,1833345,916334,490123456.91,SNAP,
PA,PENNSYLVANIA,2023,4,APRIL,1842123,920678,496789123.12,SNAP,
PA,PENNSYLVANIA,2023,5,MAY,1850891,925045,503456789.23,SNAP,
PA,PENNSYLVANIA,2023,6,JUNE,1859678,929389,510123456.34,SNAP,
PA,PENNSYLVANIA,2023,7,JULY,1868456,933756,516789123.45,SNAP,
PA,PENNSYLVANIA,2023,8,AUGUST,1877234,938123,523456789.56,SNAP,
PA,PENNSYLVANIA,2023,9,SEPTEMBER,1886012,942467,530123456.67,SNAP,
OH,OHIO,2022,10,OCTOBER,1456789,734567,356789123.45,SNAP,
OH,OHIO,2022,11,NOVEMBER,1463456,737891,361456789.56,SNAP,
OH,OHIO,2022,12,DECEMBER,1470123,741234,366123456.67,SNAP,
OH,OHIO,2023,1,JANUARY,1476789,744567,370789123.78,SNAP,
OH,OHIO,2023,2,FEBRUARY,1483456,747891,375456789.89,SNAP,
OH,OHIO,2023,3,MARCH,1490123,751234,380123456.91,SNAP,
OH,OHIO,2023,4,APRIL,1496789,754567,384789123.12,SNAP,
OH,OHIO,2023,5,MAY,1503456,757891,389456789.23,SNAP,
OH,OHIO,2023,6,JUNE,1510123,761234,394123456.34,SNAP,
OH,OHIO,2023,7,JULY,1516789,764567,398789123.45,SNAP,
OH,OHIO,2023,8,AUGUST,1523456,767891,403456789.56,SNAP,
OH,OHIO,2023,9,SEPTEMBER,1530123,771234,408123456.67,SNAP,
IL,ILLINOIS,2022,10,OCTOBER,1678945,845678,445678923.45,SNAP,
IL,ILLINOIS,2022,11,NOVEMBER,1686234,849123,451456789.56,SNAP,
IL,ILLINOIS,2022,12,DECEMBER,1693567,852567,457234567.67,SNAP,
IL,ILLINOIS,2023,1,JANUARY,1700891,856012,463012345.78,SNAP,
IL,ILLINOIS,2023,2,FEBRUARY,1708234,859456,468789123.89,SNAP,
IL,ILLINOIS,2023,3,MARCH,1715567,862891,474567891.91,SNAP,
IL,ILLINOIS,2023,4,APRIL,1722891,866345,480345679.12,SNAP,
IL,ILLINOIS,2023,5,MAY,1730234,869789,486123456.23,SNAP,
IL,ILLINOIS,2023,6,JUNE,1737567,873234,491891234.34,SNAP,
IL,ILLINOIS,2023,7,JULY,1744891,876678,497679123.45,SNAP,
IL,ILLINOIS,2023,8,AUGUST,1752234,880123,503456789.56,SNAP,
IL,ILLINOIS,2023,9,SEPTEMBER,1759567,883567,509234567.67,SNAP,
MI,MICHIGAN,2022,10,OCTOBER,1234567,634567,234567891.23,SNAP,
MI,MICHIGAN,2022,11,NOVEMBER,1240789,637234,238234567.34,SNAP,
MI,MICHIGAN,2022,12,DECEMBER,1247012,639891,241912345.45,SNAP,
MI,MICHIGAN,2023,1,JANUARY,1253234,642567,245567891.56,SNAP,
MI,MICHIGAN,2023,2,FEBRUARY,1259456,645234,249234567.67,SNAP,
MI,MICHIGAN,2023,3,MARCH,1265678,647891,252912345.78,SNAP,
MI,MICHIGAN,2023,4,APRIL,1271891,650567,256567891.89,SNAP,
MI,MICHIGAN,2023,5,MAY,1278123,653234,260234567.91,SNAP,
MI,MICHIGAN,2023,6,JUNE,1284345,655891,263912345.12,SNAP,
MI,MICHIGAN,2023,7,JULY,1290567,658567,267567891.23,SNAP,
MI,MICHIGAN,2023,8,AUGUST,1296789,661234,271234567.34,SNAP,
MI,MICHIGAN,2023,9,SEPTEMBER,1303012,663891,274912345.45,SNAP,
GA,GEORGIA,2022,10,OCTOBER,1567891,789456,389456789.12,SNAP,
GA,GEORGIA,2022,11,NOVEMBER,1576234,793123,395123456.23,SNAP,
GA,GEORGIA,2022,12,DECEMBER,1584567,796789,400789123.34,SNAP,
GA,GEORGIA,2023,1,JANUARY,1592891,800456,406456789.45,SNAP,
GA,GEORGIA,2023,2,FEBRUARY,1601234,804123,412123456.56,SNAP,
GA,GEORGIA,2023,3,MARCH,1609567,807789,417789123.67,SNAP,
GA,GEORGIA,2023,4,APRIL,1617891,811456,423456789.78,SNAP,
GA,GEORGIA,2023,5,MAY,1626234,815123,429123456.89,SNAP,
GA,GEORGIA,2023,6,JUNE,1634567,818789,434789123.91,SNAP,
GA,GEORGIA,2023,7,JULY,1642891,822456,440456789.12,SNAP,
GA,GEORGIA,2023,8,AUGUST,1651234,826123,446123456.23,SNAP,
GA,GEORGIA,2023,9,SEPTEMBER,1659567,829789,451789123.34,SNAP